hotel_type,window_booking,check_in,booking_status,booking_changes,reservation_date,reservation_status,deposit_type,weekend_nights,week_nights,days_in_waiting_list,number_adults,number_children,number_babies,country_code,country_name,region,market_segment,distribution_channel,repeated_guest,customer_type,reserved_room,assigned_room,meal_code,special_requests,prev_cancels,prev_not_cancels,adr,bucket
Resort Hotel,7,2015-07-01,Confirmed,0,2015-07-02,Check-Out,No Deposit,0,1,0,1,0.0,0,GBR,United Kingdom,Europe,Direct,Direct,No,Transient,A,C,Bed & Breakfast,0,0,0,75.0,0-7 days
Resort Hotel,13,2015-07-01,Confirmed,0,2015-07-02,Check-Out,No Deposit,0,1,0,1,0.0,0,GBR,United Kingdom,Europe,Corporate,Corporate,No,Transient,A,A,Bed & Breakfast,0,0,0,75.0,8-30 days
Resort Hotel,14,2015-07-01,Confirmed,0,2015-07-03,Check-Out,No Deposit,0,2,0,2,0.0,0,GBR,United Kingdom,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,1,0,0,98.0,8-30 days
Resort Hotel,0,2015-07-01,Confirmed,0,2015-07-03,Check-Out,No Deposit,0,2,0,2,0.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,C,C,Bed & Breakfast,0,0,0,107.0,0-7 days
Resort Hotel,9,2015-07-01,Confirmed,0,2015-07-03,Check-Out,No Deposit,0,2,0,2,0.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,C,C,Full Board,1,0,0,103.0,8-30 days
Resort Hotel,85,2015-07-01,Cancelled,0,2015-05-06,Canceled,No Deposit,0,3,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,1,0,0,82.0,31-90 days
Resort Hotel,75,2015-07-01,Cancelled,0,2015-04-22,Canceled,No Deposit,0,3,0,2,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Transient,D,D,Half Board,0,0,0,105.5,31-90 days
Resort Hotel,23,2015-07-01,Cancelled,0,2015-06-23,Canceled,No Deposit,0,4,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,E,E,Bed & Breakfast,0,0,0,123.0,8-30 days
Resort Hotel,35,2015-07-01,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,4,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,D,D,Half Board,0,0,0,145.0,31-90 days
Resort Hotel,68,2015-07-01,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,4,0,2,0.0,0,USA,United States,Americas,Online TA,TA/TO,No,Transient,D,E,Bed & Breakfast,3,0,0,97.0,31-90 days
Resort Hotel,18,2015-07-01,Confirmed,1,2015-07-05,Check-Out,No Deposit,0,4,0,2,1.0,0,ESP,Spain,Europe,Online TA,TA/TO,No,Transient,G,G,Half Board,1,0,0,154.77,8-30 days
Resort Hotel,37,2015-07-01,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,4,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,E,E,Bed & Breakfast,0,0,0,94.71,31-90 days
Resort Hotel,68,2015-07-01,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,4,0,2,0.0,0,IRL,Ireland,Europe,Online TA,TA/TO,No,Transient,D,E,Bed & Breakfast,3,0,0,97.0,31-90 days
